Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2022-05-03,1205,Great Meadow,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,3.0,120,,,,,,,
2022-05-03,1640,Great Meadow,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,4.0,30,,,,,,,
2022-05-03,1205,Great Meadow,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,45,,,,,,,
2022-05-03,1205,Great Meadow,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 4,3.0,30,,,,,,,
2022-05-03,1640,Great Meadow,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,30,,,,,,,
2022-05-03,1120,Green Haven,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 8,8.0,301,,,,,,,
2022-05-03,1430,Green Haven,3 100.13 FIGHTING 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 7,5.0,120,,,,,,,
2022-05-03,1258,Greene,3 102.10 THREATS 104.11 VIOLENT CONDUCT 104.12 DEMONSTRATION 6,6.0,180,,,,,,,
2022-05-03,1258,Greene,3 102.10 THREATS 104.11 VIOLENT CONDUCT 104.12 DEMONSTRATION 6,6.0,90,,,,,,,
2022-05-03,1840,Greene,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 5,3.0,270,,,,,,,
2022-05-03,1258,Greene,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 104.12 DEMONSTRATION 6,5.0,180,,,,,,,
2022-05-03,1258,Greene,3 104.11 VIOLENT CONDUCT 104.12 DEMONSTRATION 106.10 DIRECT ORDER 4,4.0,270,,,,,,,
2022-05-03,1805,Greene,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,30,,,,,,,
2022-05-03,1258,Greene,3 102.10 THREATS 104.11 VIOLENT CONDUCT 104.12 DEMONSTRATION 6,6.0,180,,,,,,,
2022-05-03,1135,Greene,3 102.10 THREATS 106.10 DIRECT ORDER 107.20 FALSE INFORMATION 4,4.0,15,,,,,,,
2022-05-03,1258,Greene,3 100.11 ASSAULT ON STAFF 100.13 FIGHTING 104.11 VIOLENT CONDUCT 5,4.0,270,,,,,,,
2022-05-03,1258,Greene,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 6,4.0,270,,,,,,,
2022-05-03,840,Greene,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,90,,,,,,,
2022-05-03,1840,Greene,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,270,,,,,,,
