Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2023-01-04,1858,Upstate,3 114.10 SMUGGLING 106.10 DIRECT ORDER 107.10 INTERFERENCE 3,3.0,30,,,,,,,
2023-01-04,1910,Washington,3 114.10 SMUGGLING 113.23 CONTRABAND 2,2.0,90,,,,,,,
2023-01-04,830,Uncoded,3 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 3,3.0,45,,,,,,,
2023-01-05,1705,Attica,3 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 107.10 INTERFERENCE 5,4.0,4,,,,,,,
2023-01-05,910,Bare Hill,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,120,,,,,,,
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - January 2023 (Dismissals Excluded, Only Guilty Rule Violations Included) As of January 30, 2023",,,,,,,,,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days,,,,,,,
2023-01-05,1400,Bare Hill,3 114.10 SMUGGLING 103.20 SOLICITING 2,2.0,5,,,,,,,
2023-01-05,1630,Bedford Hills,3 118.22 UNHYGIENIC ACT 107.11 HARASSMENT 2,2.0,120,,,,,,,
2023-01-05,1340,Cayuga,3 105.13 GANGS 116.10 LOSS/DAMAGE PROP 113.11 ALTERED ITEM 3,3.0,15,,,,,,,
2023-01-05,1320,Collins,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 4,2.0,60,,,,,,,
2023-01-05,830,Coxsackie,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 3,3.0,90,,,,,,,
2023-01-05,1633,Coxsackie,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 4,2.0,94,,,,,,,
2023-01-05,1530,Elmira,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,4.0,15,,,,,,,
