New York State Department of Corrections and Community Supervision,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Incidents Originally Resulting in a SHU sanction - April 2022 (Dismissals Excluded, Only Guilty Rule Violations Included)",,,,,,,,,,,,
Date,Time,Facility,TIER,Guilty1,,Guilty2,,Guilty3,,TotalInfractions,Total GuiltyInfractions,OriginalSHUDays
2022-04-05,0845,Sing Sing,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,75
2022-04-05,1550,Sing Sing,3,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,107.10,INTERFERENCE,5,3,100
2022-04-05,0845,Sing Sing,3,100.11,ASSAULT ON STAFF,102.10,THREATS,104.11,VIOLENT CONDUCT,5,5,60
2022-04-05,1320,Upstate,3,104.12,DEMONSTRATION,104.12,DEMONSTRATION,106.10,DIRECT ORDER,8,8,180
2022-04-05,1320,Upstate,3,104.12,DEMONSTRATION,106.10,DIRECT ORDER,107.10,INTERFERENCE,4,4,45
2022-04-05,1320,Upstate,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,,,4,2,15
2022-04-05,1320,Upstate,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,104.13,CREATE DISTURB,4,3,30
2022-04-05,1320,Upstate,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,104.13,CREATE DISTURB,4,3,30
2022-04-05,2345,Washington,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,90
2022-04-05,2345,Washington,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,36
2022-04-05,0930,Wende,3,114.10,SMUGGLING,113.34,DRUG USE,180.11,FACIL CORRESPOND,5,5,30
2022-04-05,1950,Woodbourne,3,114.10,SMUGGLING,113.23,CONTRABAND,,,2,2,45
2022-04-06,1425,Attica,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,74
2022-04-06,0832,Attica,3,104.11,VIOLENT CONDUCT,107.10,INTERFERENCE,109.12,MOVEMENT VIO,4,3,90
2022-04-06,1148,Attica,3,113.10,WEAPON,,,,,1,1,300
2022-04-06,0832,Attica,3,100.11,ASSAULT ON STAFF,118.22,UNHYGIENIC ACT,107.10,INTERFERENCE,4,4,270
2022-04-06,0715,Bare Hill,3,102.10,THREATS,115.10,SEARCH/FRISK,106.10,DIRECT ORDER,5,4,50
2022-04-06,0830,Cape Vincent,3,101.22,STALKING,101.20,LEWD CONDUCT,113.23,CONTRABAND,4,3,77
"Incidents Originally Resulting in a SHU sanction - April 2022 (Dismissals Excluded, Only Guilty Rule Violations Included)",,,,,,,,,,,,
Date,Time,Facility,TIER,Guilty1,,Guilty2,,Guilty3,,TotalInfractions,Total GuiltyInfractions,OriginalSHUDays
2022-04-06,1940,Clinton,3,113.10,WEAPON,100.13,FIGHTING,104.11,VIOLENT CONDUCT,6,6,367
2022-04-06,2200,Clinton,3,101.20,LEWD CONDUCT,,,,,2,1,45
2022-04-06,1315,Clinton,3,104.11,VIOLENT CONDUCT,115.10,SEARCH/FRISK,106.10,DIRECT ORDER,6,6,30
2022-04-06,1020,Clinton,3,104.12,DEMONSTRATION,106.10,DIRECT ORDER,104.13,CREATE DISTURB,3,3,133
2022-04-06,1010,Collins,3,102.10,THREATS,,,,,1,1,120
2022-04-06,0915,Coxsackie,3,102.10,THREATS,,,,,1,1,90
2022-04-06,0754,Coxsackie,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,92
2022-04-06,0754,Coxsackie,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,92
2022-04-06,1621,Coxsackie,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,15
2022-04-06,1621,Coxsackie,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,120
2022-04-06,1621,Coxsackie,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,104.13,CREATE DISTURB,3,3,15
2022-04-06,1015,Elmira,3,113.10,WEAPON,,,,,1,1,135
2022-04-06,2140,Elmira,3,100.10,ASSAULT ON INMATE,113.10,WEAPON,104.11,VIOLENT CONDUCT,4,4,60
2022-04-06,1510,Fishkill,3,113.10,WEAPON,114.10,SMUGGLING,109.10,OUT OF PLACE,3,3,90
2022-04-06,0920,Five Points,3,118.10,ARSON,106.10,DIRECT ORDER,107.10,INTERFERENCE,4,4,350
2022-04-06,0655,Five Points,3,100.11,ASSAULT ON STAFF,100.11,ASSAULT ON STAFF,118.22,UNHYGIENIC ACT,7,4,104
2022-04-06,1000,Franklin,3,113.33,DRUG POSSES,,,,,1,1,45
2022-04-06,2030,Gouverneur,3,104.11,VIOLENT CONDUCT,115.10,SEARCH/FRISK,106.10,DIRECT ORDER,5,5,120
2022-04-06,2045,Gouverneur,3,102.10,THREATS,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,89
2022-04-06,2045,Gouverneur,3,102.10,THREATS,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,89
2022-04-06,2045,Gouverneur,3,113.10,WEAPON,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,6,5,90
2022-04-06,0807,Gouverneur,3,113.10,WEAPON,102.10,THREATS,109.15,REFUSE DBL CELLING,5,4,60
2022-04-06,1900,Great Meadow,3,113.10,WEAPON,113.23,CONTRABAND,113.11,ALTERED ITEM,3,3,365
2022-04-06,1730,Great Meadow,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,,,4,2,15
2022-04-06,1200,Groveland,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,109.12,MOVEMENT VIO,3,3,2
2022-04-06,1045,Groveland,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,109.12,MOVEMENT VIO,3,3,89
2022-04-06,0815,Lakeview,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,365
2022-04-06,0815,Lakeview,3,100.11,ASSAULT ON STAFF,118.22,UNHYGIENIC ACT,104.11,VIOLENT CONDUCT,6,6,270
