Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4
2022-12-06,1040,Attica,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 104.13 CREATE DISTURB 3,3.0,15
2022-12-06,1035,Bare Hill,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 2,2.0,67
2022-12-06,500,Collins,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 106.10 DIRECT ORDER 8,6.0,3
2022-12-06,925,Collins,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 109.12 MOVEMENT VIO 3,3.0,3
2022-12-06,725,Collins,3 113.23 CONTRABAND 3,1.0,3
2022-12-06,1745,Elmira,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,5.0,60
2022-12-06,730,Fishkill,3 100.13 FIGHTING 102.10 THREATS 104.11 VIOLENT CONDUCT 9,4.0,105
2022-12-06,950,Five Points,3 106.10 DIRECT ORDER 109.15 REFUSE DBL CELLING 107.10 INTERFERENCE 4,4.0,60
2022-12-06,740,Five Points,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 11,11.0,90
2022-12-06,705,Franklin,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,209
2022-12-06,1730,Great Meadow,3 118.22 UNHYGIENIC ACT 106.10 DIRECT ORDER 2,2.0,30
2022-12-06,1725,Great Meadow,3 100.10 ASSAULT ON INCAR INDIV 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 3,3.0,60
2022-12-06,1305,Green Haven,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 6,5.0,14
2022-12-06,1555,Marcy,3 118.22 UNHYGIENIC ACT 104.13 CREATE DISTURB 2,2.0,60
2022-12-06,910,Marcy,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,60
2022-12-06,2140,Marcy,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 4,4.0,200
2022-12-06,450,Marcy,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 4,4.0,210
2022-12-06,850,Mid-State,3 113.34 DRUG USE 113.23 CONTRABAND 2,2.0,30
2022-12-06,830,Mid-State,3 114.10 SMUGGLING 113.23 CONTRABAND 2,2.0,6
2022-12-06,650,Mohawk,3 114.10 SMUGGLING 113.34 DRUG USE 113.23 CONTRABAND 3,3.0,30
2022-12-06,1758,Mohawk,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 4,4.0,180
2022-12-06,1445,Mohawk,3 113.10 WEAPON 118.22 UNHYGIENIC ACT 102.10 THREATS 11,11.0,143
2022-12-06,1945,Mohawk,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 100.13 FIGHTING 5,5.0,180
2022-12-06,1120,Orleans,3 100.10 ASSAULT ON INCAR INDIV 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 3,3.0,270
2022-12-06,1345,Riverview,3 102.10 THREATS 103.10 BRIBERY/EXTORTION 104.11 VIOLENT CONDUCT 3,3.0,59
2022-12-06,2120,Sing Sing,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,6.0,60
2022-12-06,1410,Upstate,3 113.10 WEAPON 104.11 VIOLENT CONDUCT 114.10 SMUGGLING 9,9.0,365
2022-12-06,1100,Upstate,3 100.13 FIGHTING 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,3.0,45
2022-12-06,1720,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,15
2022-12-06,840,Upstate,3 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 2,2.0,90
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - December 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of January 2, 2023",,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days
2022-12-06,1005,Upstate,3 102.10 THREATS 105.13 GANGS 107.10 INTERFERENCE 5,4.0,60
2022-12-06,1345,Upstate,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 106.10 DIRECT ORDER 8,8.0,90
2022-12-06,1720,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,60
2022-12-06,1100,Upstate,3 100.13 FIGHTING 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,3.0,15
2022-12-06,1150,Washington,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 107.11 HARASSMENT 3,3.0,367
2022-12-06,1940,Wyoming,3 100.10 ASSAULT ON INCAR INDIV 100.11 ASSAULT ON STAFF 100.13 FIGHTING 6,6.0,88
2022-12-07,2125,Altona,3 102.10 THREATS 106.10 DIRECT ORDER 121.13 UNAUTH PHONE USE 8,8.0,206
2022-12-07,1044,Attica,3 101.20 LEWD CONDUCT 1,1.0,8
2022-12-07,805,Auburn,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 106.10 DIRECT ORDER 4,3.0,210
2022-12-07,1950,Cape Vincent,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 4,4.0,90
2022-12-07,1800,Collins,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,30
2022-12-07,1800,Collins,3 113.10 WEAPON 100.13 FIGHTING 104.11 VIOLENT CONDUCT 4,4.0,270
2022-12-07,1810,Collins,3 104.11 VIOLENT CONDUCT 114.10 SMUGGLING 115.10 SEARCH/FRISK 5,5.0,2
2022-12-07,950,Coxsackie,3 113.10 WEAPON 113.11 ALTERED ITEM 2,2.0,545
2022-12-07,1220,Coxsackie,3 113.10 WEAPON 105.13 GANGS 113.11 ALTERED ITEM 3,3.0,90
2022-12-07,2010,Elmira,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,30
2022-12-07,948,Elmira,3 102.10 THREATS 104.11 VIOLENT CONDUCT 2,2.0,30
2022-12-07,2010,Elmira,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,15
2022-12-07,810,Five Points,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 104.13 CREATE DISTURB 4,3.0,45
2022-12-07,2120,Franklin,3 113.10 WEAPON 1,1.0,188
2022-12-07,1525,Great Meadow,3 113.10 WEAPON 113.23 CONTRABAND 3,2.0,365
2022-12-07,843,Great Meadow,3 113.10 WEAPON 5,1.0,180
2022-12-07,1320,Great Meadow,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 2,2.0,120
