time,facility,tier,date,g1,g1_label,g2,g2_label,g3,g3_label,tot_infractions,tot_g_infractions,orig_shu_days
2238,Greene,3,2022-09-04,100.10, ASSAULT ON INCAR INDIV ,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,5,4.0,120
1210,Greene,3,2022-09-04,102.10, THREATS ,107.11, HARASSMENT ,,,2,2.0,15
2238,Greene,3,2022-09-04,100.10, ASSAULT ON INCAR INDIV ,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,5,4.0,60
2030,Greene,3,2022-09-04,102.10, THREATS ,115.10, SEARCH/FRISK ,106.10, DIRECT ORDER ,4,4.0,60
1615,Groveland,3,2022-09-04,115.10, SEARCH/FRISK ,106.10, DIRECT ORDER ,107.10, INTERFERENCE ,4,4.0,15
1045,Lakeview,3,2022-09-04,102.10, THREATS ,106.10, DIRECT ORDER ,104.13, CREATE DISTURB ,6,4.0,13
1355,Marcy,3,2022-09-04,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,,,2,2.0,30
900,Marcy,3,2022-09-04,100.11, ASSAULT ON STAFF ,113.10, WEAPON ,104.11, VIOLENT CONDUCT ,6,6.0,700
1315,Marcy,3,2022-09-04,113.10, WEAPON ,113.23, CONTRABAND ,,,2,2.0,120
833,Sullivan,3,2022-09-04,100.11, ASSAULT ON STAFF ,118.22, UNHYGIENIC ACT ,104.11, VIOLENT CONDUCT ,5,5.0,180
1810,Upstate,3,2022-09-04,100.11, ASSAULT ON STAFF ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,5,5.0,200
2105,Wyoming,3,2022-09-04,100.13, FIGHTING ,104.13, CREATE DISTURB ,,,4,2.0,15
2105,Wyoming,3,2022-09-04,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,107.10, INTERFERENCE ,4,4.0,30
2105,Wyoming,3,2022-09-04,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,107.10, INTERFERENCE ,4,4.0,60
2105,Wyoming,3,2022-09-04,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,107.10, INTERFERENCE ,4,4.0,30
1950,Albion,3,2022-09-05,114.10, SMUGGLING ,113.23, CONTRABAND ,113.14, UNAUTH MEDIC ,4,4.0,270
1238,Attica,3,2022-09-05,114.10, SMUGGLING ,113.34, DRUG USE ,180.11, FACIL CORRESPOND ,5,5.0,60
1610,Auburn,3,2022-09-05,113.10, WEAPON ,113.23, CONTRABAND ,113.11, ALTERED ITEM ,3,3.0,43
2035,Clinton,3,2022-09-05,118.22, UNHYGIENIC ACT ,106.10, DIRECT ORDER ,118.33, FLOODING ,4,3.0,45
2040,Collins,3,2022-09-05,106.10, DIRECT ORDER ,107.10, INTERFERENCE ,,,4,2.0,4
1030,Elmira,3,2022-09-05,113.10, WEAPON ,113.11, ALTERED ITEM ,,,2,2.0,45
700,Elmira,3,2022-09-05,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,15
1400,Fishkill,3,2022-09-05,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,,,4,2.0,60
1955,Five Points,3,2022-09-05,100.11, ASSAULT ON STAFF ,118.22, UNHYGIENIC ACT ,104.11, VIOLENT CONDUCT ,4,4.0,180
905,Lakeview,3,2022-09-05,100.11, ASSAULT ON STAFF ,113.10, WEAPON ,102.10, THREATS ,5,5.0,180
2105,Orleans,3,2022-09-05,114.10, SMUGGLING ,113.23, CONTRABAND ,,,2,2.0,45
2359,Riverview,3,2022-09-05,102.10, THREATS ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,5,5.0,48
1030,Sing Sing,3,2022-09-05,100.11, ASSAULT ON STAFF ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,5,5.0,250
1405,Upstate,3,2022-09-05,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,,,2,2.0,30
1800,Upstate,3,2022-09-05,102.10, THREATS ,,,,,1,1.0,60
1400,Wende,3,2022-09-05,100.10, ASSAULT ON INCAR INDIV ,113.10, WEAPON ,104.11, VIOLENT CONDUCT ,4,3.0,90
2316,Wyoming,3,2022-09-05,104.11, VIOLENT CONDUCT ,115.10, SEARCH/FRISK ,107.10, INTERFERENCE ,6,6.0,15
2130,Attica,3,2022-09-06,113.10, WEAPON ,,,,,1,1.0,180
1745,Attica,3,2022-09-06,106.10, DIRECT ORDER ,107.10, INTERFERENCE ,109.12, MOVEMENT VIO ,3,3.0,90
1125,Attica,3,2022-09-06,106.10, DIRECT ORDER ,107.10, INTERFERENCE ,104.13, CREATE DISTURB ,6,6.0,15
1135,Auburn,3,2022-09-06,100.11, ASSAULT ON STAFF ,104.11, VIOLENT CONDUCT ,115.10, SEARCH/FRISK ,6,6.0,180
810,Auburn,3,2022-09-06,104.11, VIOLENT CONDUCT ,115.10, SEARCH/FRISK ,106.10, DIRECT ORDER ,5,5.0,90
1825,Auburn,3,2022-09-06,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,90
1825,Auburn,3,2022-09-06,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,89
1700,Auburn,3,2022-09-06,118.22, UNHYGIENIC ACT ,102.10, THREATS ,106.10, DIRECT ORDER ,7,7.0,90
1650,Bedford Hills,3,2022-09-06,100.13, FIGHTING ,118.22, UNHYGIENIC ACT ,104.11, VIOLENT CONDUCT ,7,7.0,75
900,Bedford Hills,3,2022-09-06,118.22, UNHYGIENIC ACT ,106.10, DIRECT ORDER ,104.13, CREATE DISTURB ,3,3.0,90
45,Collins,3,2022-09-06,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,,,3,2.0,10
915,Five Points,3,2022-09-06,113.10, WEAPON ,114.10, SMUGGLING ,113.23, CONTRABAND ,4,4.0,150
745,Great Meadow,3,2022-09-06,113.10, WEAPON ,114.10, SMUGGLING ,106.10, DIRECT ORDER ,8,5.0,90
1855,Great Meadow,3,2022-09-06,113.10, WEAPON ,113.23, CONTRABAND ,113.11, ALTERED ITEM ,3,3.0,216
2100,Great Meadow,3,2022-09-06,113.10, WEAPON ,114.10, SMUGGLING ,,,2,2.0,367
1630,Great Meadow,3,2022-09-06,113.10, WEAPON ,,,,,1,1.0,69
1845,Greene,3,2022-09-06,113.10, WEAPON ,102.10, THREATS ,103.10, BRIBERY/EXTORTION ,5,5.0,130
1820,Mohawk,3,2022-09-06,113.10, WEAPON ,114.10, SMUGGLING ,113.23, CONTRABAND ,4,4.0,187
1010,Orleans,3,2022-09-06,118.22, UNHYGIENIC ACT ,114.10, SMUGGLING ,115.10, SEARCH/FRISK ,4,4.0,90
1205,Upstate,3,2022-09-06,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,3,3.0,30
1220,Upstate,3,2022-09-06,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,6,6.0,60
1245,Upstate,3,2022-09-06,102.10, THREATS ,106.10, DIRECT ORDER ,107.10, INTERFERENCE ,6,6.0,180
1857,Wende,3,2022-09-06,114.10, SMUGGLING ,113.34, DRUG USE ,180.10, FACIL VISITING ,5,5.0,60
1205,Wende,3,2022-09-06,113.10, WEAPON ,105.13, GANGS ,180.11, FACIL CORRESPOND ,5,5.0,180
830,Woodbourne,3,2022-09-06,114.10, SMUGGLING ,115.10, SEARCH/FRISK ,107.10, INTERFERENCE ,4,4.0,15
2225,Altona,3,2022-09-07,114.10, SMUGGLING ,113.23, CONTRABAND ,,,2,2.0,90
930,Attica,3,2022-09-07,106.10, DIRECT ORDER ,107.10, INTERFERENCE ,109.12, MOVEMENT VIO ,3,3.0,85
2030,Cape Vincent,3,2022-09-07,114.10, SMUGGLING ,113.23, CONTRABAND ,,,2,2.0,90
5,Cape Vincent,3,2022-09-07,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,30
5,Cape Vincent,3,2022-09-07,100.10, ASSAULT ON INCAR INDIV ,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,5,5.0,135
610,Cayuga,3,2022-09-07,102.10, THREATS ,112.22, OBSTRUCT VISIB ,112.21, COMP COUNT PROCEDURE ,3,3.0,90
2010,Clinton,3,2022-09-07,113.10, WEAPON ,114.10, SMUGGLING ,113.23, CONTRABAND ,3,3.0,365
930,Collins,3,2022-09-07,113.10, WEAPON ,102.10, THREATS ,103.10, BRIBERY/EXTORTION ,3,3.0,45
1930,Eastern,3,2022-09-07,113.23, CONTRABAND ,113.31, ALCOLHOL USE ,113.32, ALCOLHOL/DRUG DIST ,3,3.0,44
1945,Elmira,3,2022-09-07,113.10, WEAPON ,,,,,1,1.0,90
810,Five Points,3,2022-09-07,102.10, THREATS ,104.11, VIOLENT CONDUCT ,104.12, DEMONSTRATION ,6,6.0,365
1318,Five Points,3,2022-09-07,108.13, ESCAPE ITEMS ,113.23, CONTRABAND ,116.10, LOSS/DAMAGE PROP ,4,4.0,100
930,Five Points,3,2022-09-07,100.11, ASSAULT ON STAFF ,118.22, UNHYGIENIC ACT ,102.10, THREATS ,7,7.0,60
1140,Gouverneur,3,2022-09-07,100.11, ASSAULT ON STAFF ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,60
200,Great Meadow,3,2022-09-07,102.10, THREATS ,106.10, DIRECT ORDER ,101.20, LEWD CONDUCT ,5,5.0,120
1750,Great Meadow,3,2022-09-07,106.10, DIRECT ORDER ,101.20, LEWD CONDUCT ,107.10, INTERFERENCE ,4,4.0,30
2115,Great Meadow,3,2022-09-07,100.10, ASSAULT ON INCAR INDIV ,104.11, VIOLENT CONDUCT ,104.13, CREATE DISTURB ,3,3.0,265
2115,Great Meadow,3,2022-09-07,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,3,3.0,14
